Date,High,Low,Open,Close,Gap,Positive,Negative
2020-02-28,55500.0,54200.0,55000.0,54200.0,-1400.0,23.0,8.0
2020-03-02,55500.0,53600.0,54300.0,55000.0,0.0,28.0,7.0
2020-03-03,56900.0,55100.0,56700.0,55400.0,1400.0,26.0,28.0
2020-03-04,57600.0,54600.0,54800.0,57400.0,700.0,23.0,9.0
2020-03-05,58000.0,56700.0,57600.0,57800.0,400.0,24.0,3.0
2020-03-06,57200.0,56200.0,56500.0,56500.0,-800.0,23.0,9.0
2020-03-09,56500.0,56500.0,56500.0,56500.0,-700.0,25.0,18.0
2020-03-10,54900.0,53700.0,53800.0,54600.0,-1600.0,27.0,26.0
2020-03-11,54400.0,52000.0,54300.0,52100.0,-500.0,23.0,32.0
2020-03-12,52100.0,52100.0,52100.0,52100.0,-2300.0,12.0,2.0
