,name,code
826,백광산업,001340.KS
827,벽산,007210.KS
828,부광약품,003000.KS
829,부국철강,026940.KS
830,부산도시가스,015350.KS
831,비상교육,100220.KS
832,사조산업,007160.KS
833,삼성공조,006660.KS
834,삼성생명,032830.KS
835,삼성전기,009150.KS
836,삼양패키징,272550.KS
837,삼화전기,009470.KS
838,새론오토모티브,075180.KS
839,샘표,007540.KS
840,서연,007860.KS
841,서흥,008490.KS
842,수산중공업,017550.KS
843,신세계I&C,035510.KS
844,신세계건설,034300.KS
845,신영와코루,005800.KS
846,신원,009270.KS
847,신풍제지,002870.KS
848,아주캐피탈,033660.KS
849,에이프로젠 KIC,007460.KS
850,엘브이엠씨,900140.KS
851,엘에스일렉트릭,010120.KS
852,오리온,271560.KS
853,우리금융지주,316140.KS
854,우성사료,006980.KS
855,웰바이오텍,010600.KS
856,유니온,000910.KS
857,유안타증권,003470.KS
858,인천도시가스,034590.KS
859,일동홀딩스,000230.KS
860,일진머티리얼즈,020150.KS
861,일진전기,103590.KS
862,잇츠한불,226320.KS
863,조광피혁,004700.KS
864,조일알미늄,018470.KS
865,진흥기업,002780.KS
866,카카오,035720.KS
867,케이씨티시,009070.KS
868,케이티,030200.KS
869,코리안리,003690.KS
870,코스맥스비티아이,044820.KS
871,코오롱머티리얼,144620.KS
872,크라운제과,264900.KS
873,크라운해태홀딩스,005740.KS
874,태림포장,011280.KS
875,태원물산,001420.KS
876,티에이치엔,019180.KS
877,팬오션,028670.KS
878,평화산업,090080.KS
879,하나투어,039130.KS
880,한국타이어앤테크놀로지,161390.KS
881,한국프랜지공업,010100.KS
882,한독,002390.KS
883,한세엠케이,069640.KS
884,한솔제지,213500.KS
885,한솔케미칼,014680.KS
886,한솔테크닉스,004710.KS
887,한온시스템,018880.KS
888,한전산업,130660.KS
889,한진,002320.KS
890,해성디에스,195870.KS
891,현대해상,001450.KS
892,형지엘리트,093240.KS
893,혜인,003010.KS
894,화성산업,002460.KS
895,화승엔터프라이즈,241590.KS
896,휠라홀딩스,081660.KS
897,휴비스,079980.KS
898,AP우주통신,015670.KS
899,BHK,003990.KS
900,SK인천정유,006290.KS
901,STX조선해양,067250.KS
902,거북선1호선박투자,092970.KS
903,경남모직,001670.KS
904,경남종금,014400.KS
905,고려화학,010110.KS
906,고제,002540.KS
907,굿리치경매2,088510.KS
908,금성계전,010000.KS
909,금호건설,000570.KS
910,나눔공간,028940.KS
911,대구은행,005270.KS
912,대망,028370.KS
913,대선주조,004110.KS
914,대우송도개발,004550.KS
915,대한종합건설,029030.KS
916,동북아11호선박투자,083360.KS
917,동북아28호,089180.KS
918,동북아4호,080970.KS
919,동북아8호,082110.KS
920,두산건설,002950.KS
921,로케트전기,000420.KS
922,맵스베트남1,094520.KS
923,벽산개발,002080.KS
924,삼미,002580.KS
925,삼영금속,029120.KS
926,서통,001150.KS
927,세명종합건설,029840.KS
928,신성이엔지,104110.KS
929,신세계종금,016690.KS
930,신화건설,006160.KS
931,아남정밀,028490.KS
932,아시아1호,080180.KS
933,아시아6호,082250.KS
934,아시아차,004280.KS
935,에스와이코퍼레이션,008080.KS
936,오렌지라이프,079440.KS
937,온미디어,045710.KS
938,전북은행,006350.KS
939,제일냉동,010910.KS
940,제일모직,001300.KS
941,조인에너지,004820.KS
942,중원,003840.KS
943,충북은행,007240.KS
944,케이씨오에너지,011400.KS
945,케이알제2호,101790.KS
946,코리아04호,091000.KS
947,코스파이더,034190.KS
948,코오롱유화,011020.KS
949,하이골드2호,139200.KS
950,하이트맥주,103150.KS
951,한국유리,028760.KS
952,한국저축은행,025610.KS
953,한국컴퓨터지주,009760.KS
954,한양,008690.KS
955,한일은행,000130.KS
956,한일합섬,003980.KS
957,한화종금,016480.KS
958,현대울산종금,015620.KS
959,현대차써비스,009650.KS
960,효성물산,001930.KS
961,휴닉스,009790.KS
962,CS홀딩스,000590.KS
963,DB,012030.KS
964,DB손해보험,005830.KS
965,F&F,007700.KS
966,GS리테일,007070.KS
967,HDC,012630.KS
968,JW생명과학,234080.KS
969,KC그린홀딩스,009440.KS
970,KG동부제철,016380.KS
971,KR모터스,000040.KS
972,LG유플러스,032640.KS
973,SG세계물산,004060.KS
974,SPC삼립,005610.KS
975,경농,002100.KS
